route_no,route_name,stop_span_km,source_minutes,implied_kmh,problem
114600,"Devgad To Borivali Nancy Colony Via Tarla",498.9,350,86,"stop distances exceed the trip distance — stop list may include the return leg"
51997,"Sheware To Shrigaon",5.4,1440,,"no departure/arrival time in source"
11367,"Shrigaon To Sheware",5.4,1440,,"no departure/arrival time in source"
29942,"Padagar To Shrigaon Via Dusankarwadi",5.1,1440,,"no departure/arrival time in source"
107596,"Akkalkot Mandir To Devgad Via Gaganbawda",434.2,355,73,"stop distances exceed the trip distance — stop list may include the return leg"
11245,"Tuljapur To Devgad",437.3,350,75,"stop distances exceed the trip distance — stop list may include the return leg"
75519,"Devgad To Chinchwad Via Gaganbawda",389.8,205,114,"stop distances exceed the trip distance — stop list may include the return leg"
114590,"Borivali Nancy Colony To Devgad  Via Tarla",498.9,405,74,"stop distances exceed the trip distance — stop list may include the return leg"
75696,"Chinchwad To Devgad  Via Gaganbawda",383.8,370,62,"stop distances exceed the trip distance — stop list may include the return leg"
107604,"Devgad To Akkalkot Mandir  Via Gaganbawda",434.2,330,79,"stop distances exceed the trip distance — stop list may include the return leg"
423,"Devgad To Tuljapur",437.3,310,85,"stop distances exceed the trip distance — stop list may include the return leg"
1114600,"Devgad To Borivali Nancy Colony Via Tarla",502.9,390,77,"stop distances exceed the trip distance — stop list may include the return leg"
1114590,"Borivali Nancy Colony To Devgad Via Khed",502.9,375,80,"stop distances exceed the trip distance — stop list may include the return leg"
