reason,Route_No,Old_Route_No,Duty_No,Source_English,Destination_English,Departure_Time
no route_no at all,,,3,Devgad,Achara,
no route_no at all,,,3,Achara,Devgad,
no route_no at all,,,25,Talebazar,Devgad,19:10
no route_no at all,,,25,Devgad,Talebazar,18:00
no route_no at all,,,32,Devgad,Wanivade,12:35
no route_no at all,,,32,Wanivade,Devgad,13:35
no route_no at all,,,88,Devgad,Chiplun,15:00
no route_no at all,,,89,Chiplun,Nalasopara,21:45
no route_no at all,,,90,Nalasopara,Chiplun,15:00
no route_no at all,,,91,Chiplun,Devgad,22:15
no route_no at all,,,,Talebazar,Devgad,19:10
no route_no at all,,,,Devgad,Wanivade,12:35
no route_no at all,,,,Wanivade,Devgad,13:35
no route_no at all,,,,Devgad,Talebazar,18:00
