route_no,route_name,stop_span_km,source_minutes,implied_kmh,problem
60730,"Shiroda To Banda Via Malewad Savlwadi",30.2,754,2,"duration too long for the distance — check departure/arrival"
63544,"Ker To Sawantwadi Via Tirali",62.6,30,125,"stop distances exceed the trip distance — stop list may include the return leg"
75415,"Sawantwadi To Dhawadaki Datta Mandir Via Bamanadevi",18,923,1,"duration too long for the distance — check departure/arrival"
88386,"Sawantwadi To Kesari",15.4,285,3,"duration too long for the distance — check departure/arrival"
119034,"Kerawade Fata To Sawantwadi",18.8,10,113,"stop distances exceed the trip distance — stop list may include the return leg"
63684,"Sawantwadi To More Dhangarwadi",24,1430,1,"duration too long for the distance — check departure/arrival"
72056,"Kudasa To Banda Via Nabar Highschool",27,1043,2,"duration too long for the distance — check departure/arrival"
73298,"Tirali To Dodamarg Via Zare Bambar",18,570,2,"duration too long for the distance — check departure/arrival"
88387,"Kesari To Sawantwadi Via Kesari",15.4,285,3,"duration too long for the distance — check departure/arrival"
18777,"Parabwadi To Sawantwadi",15.8,10,95,"stop distances exceed the trip distance — stop list may include the return leg"
75079,"Madura Titha To Banda",12.4,1430,1,"duration too long for the distance — check departure/arrival"
75416,"Dhawadaki Datta Mandir To Sawantwadi",11.5,892,1,"duration too long for the distance — check departure/arrival"
16566,"Nigadi To Sawantwadi  Banda Via Gadhinglaj",425.5,375,68,"stop distances exceed the trip distance — stop list may include the return leg"
116986,"Ganpatipule To Panjim Via Are Ware Point",279.7,120,140,"stop distances exceed the trip distance — stop list may include the return leg"
117647,"Dukanwad To Sawantwadi",27,681,2,"duration too long for the distance — check departure/arrival"
80540,"Sawantwadi To Chinchwad Via Bhosari",409,275,89,"stop distances exceed the trip distance — stop list may include the return leg"
117646,"Sawantwadi To Dukanwad",28.3,792,2,"duration too long for the distance — check departure/arrival"
116982,"Panjim To Ganpatipule Via Are Ware Point",279.7,105,160,"stop distances exceed the trip distance — stop list may include the return leg"
105608,"Kalane To Banda Via Nabar Highschool",10.8,10,65,"stop distances exceed the trip distance — stop list may include the return leg"
117648,"Sawantwadi To Phanaswadi Via Dodamarg",65.9,873,5,"duration too long for the distance — check departure/arrival"
40687,"Banda To Nigadi Via Gadhinglaj",425,275,93,"stop distances exceed the trip distance — stop list may include the return leg"
63686,"More Dhangarwadi To Sawantwadi",24,10,144,"stop distances exceed the trip distance — stop list may include the return leg"
