reason,Route_No,Old_Route_No,Duty_No,Source_English,Destination_English,Departure_Time
"no route number",,,6,Chiplun,,21:30
"no route number",,,7,,Chiplun,18:00
"no route number",,,17,Chinchwad,Kolhapur,06:00
"no route number",,,19,Vijaydurg,Kolhapur,17:00
"no route number",,,20,Kolhapur,Chinchwad,22:15
"no route number",,,21,Chinchwad,,19:15
"no route number",,,22,,Vijaydurg,01:30
"no route number",,,23,Vijaydurg,,06:30
"no route number",,,24,,,13:45
"no route number",,,25,,,07:15
"no route number",,,26,,Vijaydurg,14:10
"no route number",,,27,Vijaydurg,,10:00
"no route number",,,28,,Vijaydurg,10:00
