"Route No","Route Name","From Stop Name","Till Stop Name","Via Stop Name","Route Type","Bstop ID","Bstop Name","DIST KM","IN ACTIVE","DTL IN ACTIVE",Source_Marathi,Destination_Marathi,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Remark,School_Trip
10758,"Devgad To Tambaldeg Via Lingdal Titha",Devgad,Tambaldeg,"LINGDAL TITHA",MO,1685,Devgad,,,,देवगड,"तांबळडेग दक्षिणवाडी",39,09:30,10:45,SC,DAILY,,शालेय,SCHOOL
10758,"Devgad To Tambaldeg Via Lingdal Titha",Devgad,Tambaldeg,"LINGDAL TITHA",MO,1759,Jamsande,2.5,,,देवगड,"तांबळडेग दक्षिणवाडी",39,09:30,10:45,SC,DAILY,,शालेय,SCHOOL
10758,"Devgad To Tambaldeg Via Lingdal Titha",Devgad,Tambaldeg,"LINGDAL TITHA",MO,1769,Kata,2.6,,,देवगड,"तांबळडेग दक्षिणवाडी",39,09:30,10:45,SC,DAILY,,शालेय,SCHOOL
10758,"Devgad To Tambaldeg Via Lingdal Titha",Devgad,Tambaldeg,"LINGDAL TITHA",MO,1715,"Gadaiche Pani",6.8,,,देवगड,"तांबळडेग दक्षिणवाडी",39,09:30,10:45,SC,DAILY,,शालेय,SCHOOL
10758,"Devgad To Tambaldeg Via Lingdal Titha",Devgad,Tambaldeg,"LINGDAL TITHA",MO,1871,"Mond-Dhabhol Titha",8.5,,,देवगड,"तांबळडेग दक्षिणवाडी",39,09:30,10:45,SC,DAILY,,शालेय,SCHOOL
10758,"Devgad To Tambaldeg Via Lingdal Titha",Devgad,Tambaldeg,"LINGDAL TITHA",MO,1773,Kodamba,9.9,,,देवगड,"तांबळडेग दक्षिणवाडी",39,09:30,10:45,SC,DAILY,,शालेय,SCHOOL
10758,"Devgad To Tambaldeg Via Lingdal Titha",Devgad,Tambaldeg,"LINGDAL TITHA",MO,2022,Tembavli,10.6,,,देवगड,"तांबळडेग दक्षिणवाडी",39,09:30,10:45,SC,DAILY,,शालेय,SCHOOL
10758,"Devgad To Tambaldeg Via Lingdal Titha",Devgad,Tambaldeg,"LINGDAL TITHA",MO,1640,"Bhekar Taka",12.4,,,देवगड,"तांबळडेग दक्षिणवाडी",39,09:30,10:45,SC,DAILY,,शालेय,SCHOOL
10758,"Devgad To Tambaldeg Via Lingdal Titha",Devgad,Tambaldeg,"LINGDAL TITHA",MO,1997,"Tale Bazar",13.3,,,देवगड,"तांबळडेग दक्षिणवाडी",39,09:30,10:45,SC,DAILY,,शालेय,SCHOOL
10758,"Devgad To Tambaldeg Via Lingdal Titha",Devgad,Tambaldeg,"LINGDAL TITHA",MO,1772,Kumbharkhari,15.2,,,देवगड,"तांबळडेग दक्षिणवाडी",39,09:30,10:45,SC,DAILY,,शालेय,SCHOOL
