"Route No","Route Name","From Stop Name","Till Stop Name","Via Stop Name","Route Type","Bstop ID","Bstop Name","DIST KM","IN ACTIVE","DTL IN ACTIVE",Source_Marathi,Destination_Marathi,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Remark,School_Trip
10819,"Kankavli To Bherdewadi",Kankavli,Bherdewadi,,MO,2786,Kankavli,,,,कणकवली,"नरडवे भेरदेवाडी",29.2,14:00,15:10,SC,DAILY,,कनेडी,
10819,"Kankavli To Bherdewadi",Kankavli,Bherdewadi,,MO,2859,Mudeshwar,3.1,,,कणकवली,"नरडवे भेरदेवाडी",29.2,14:00,15:10,SC,DAILY,,कनेडी,
10819,"Kankavli To Bherdewadi",Kankavli,Bherdewadi,,MO,2712,"Enginering Collage",4,,,कणकवली,"नरडवे भेरदेवाडी",29.2,14:00,15:10,SC,DAILY,,कनेडी,
10819,"Kankavli To Bherdewadi",Kankavli,Bherdewadi,,MO,2660,"Bhat Dukan",6.2,,,कणकवली,"नरडवे भेरदेवाडी",29.2,14:00,15:10,SC,DAILY,,कनेडी,
10819,"Kankavli To Bherdewadi",Kankavli,Bherdewadi,,MO,2945,"Sangave Mandir",9.2,,,कणकवली,"नरडवे भेरदेवाडी",29.2,14:00,15:10,SC,DAILY,,कनेडी,
10819,"Kankavli To Bherdewadi",Kankavli,Bherdewadi,,MO,2782,Kanedi,12.2,,,कणकवली,"नरडवे भेरदेवाडी",29.2,14:00,15:10,SC,DAILY,,कनेडी,
10819,"Kankavli To Bherdewadi",Kankavli,Bherdewadi,,MO,2852,"Maruti Mandir",15.5,,,कणकवली,"नरडवे भेरदेवाडी",29.2,14:00,15:10,SC,DAILY,,कनेडी,
10819,"Kankavli To Bherdewadi",Kankavli,Bherdewadi,,MO,2925,"Rajwadi Fata",17.5,,,कणकवली,"नरडवे भेरदेवाडी",29.2,14:00,15:10,SC,DAILY,,कनेडी,
10819,"Kankavli To Bherdewadi",Kankavli,Bherdewadi,,MO,2715,"Forest Nursary",18,,,कणकवली,"नरडवे भेरदेवाडी",29.2,14:00,15:10,SC,DAILY,,कनेडी,
10819,"Kankavli To Bherdewadi",Kankavli,Bherdewadi,,MO,2838,"Londha Pool",18.9,,,कणकवली,"नरडवे भेरदेवाडी",29.2,14:00,15:10,SC,DAILY,,कनेडी,
10819,"Kankavli To Bherdewadi",Kankavli,Bherdewadi,,MO,2830,"Kupawade Fata",21.4,,,कणकवली,"नरडवे भेरदेवाडी",29.2,14:00,15:10,SC,DAILY,,कनेडी,
