"Route No","Route Name","From Stop Name","Till Stop Name","Via Stop Name","Route Type","Bstop ID","Bstop Name","DIST KM","IN ACTIVE","DTL IN ACTIVE",Source_Marathi,Destination_Marathi,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Remark,School_Trip
10982,"Kudal To Rangana Tulsuli Via Hateri","Kudal St Depot","Rangana Tulsuli",HATERI,MO,6240,"Kudal St Depot",,,,"कुडाळ आगार",रांगणातुळसुली,25.1,12:30,13:20,,,,,
10982,"Kudal To Rangana Tulsuli Via Hateri","Kudal St Depot","Rangana Tulsuli",HATERI,MO,6237,"Kudal St Depot",1.5,,,"कुडाळ आगार",रांगणातुळसुली,25.1,12:30,13:20,,,,,
10982,"Kudal To Rangana Tulsuli Via Hateri","Kudal St Depot","Rangana Tulsuli",HATERI,MO,6380,"Pawashi Panchayat",3.5,,,"कुडाळ आगार",रांगणातुळसुली,25.1,12:30,13:20,,,,,
10982,"Kudal To Rangana Tulsuli Via Hateri","Kudal St Depot","Rangana Tulsuli",HATERI,MO,88100,Vetalbambarde,6.2,,,"कुडाळ आगार",रांगणातुळसुली,25.1,12:30,13:20,,,,,
10982,"Kudal To Rangana Tulsuli Via Hateri","Kudal St Depot","Rangana Tulsuli",HATERI,MO,6109,"Ainmala Fata",9.2,,,"कुडाळ आगार",रांगणातुळसुली,25.1,12:30,13:20,,,,,
10982,"Kudal To Rangana Tulsuli Via Hateri","Kudal St Depot","Rangana Tulsuli",HATERI,MO,6183,"Gadkariwadi Marathi School",9.4,,,"कुडाळ आगार",रांगणातुळसुली,25.1,12:30,13:20,,,,,
10982,"Kudal To Rangana Tulsuli Via Hateri","Kudal St Depot","Rangana Tulsuli",HATERI,MO,6106,Ainmala,12,,,"कुडाळ आगार",रांगणातुळसुली,25.1,12:30,13:20,,,,,
10982,"Kudal To Rangana Tulsuli Via Hateri","Kudal St Depot","Rangana Tulsuli",HATERI,MO,6183,"Gadkariwadi Marathi School",12.4,,,"कुडाळ आगार",रांगणातुळसुली,25.1,12:30,13:20,,,,,
10982,"Kudal To Rangana Tulsuli Via Hateri","Kudal St Depot","Rangana Tulsuli",HATERI,MO,6325,"Maruti Mandir",16.4,,,"कुडाळ आगार",रांगणातुळसुली,25.1,12:30,13:20,,,,,
10982,"Kudal To Rangana Tulsuli Via Hateri","Kudal St Depot","Rangana Tulsuli",HATERI,MO,6141,Bhogalewadi,17.8,,,"कुडाळ आगार",रांगणातुळसुली,25.1,12:30,13:20,,,,,
10982,"Kudal To Rangana Tulsuli Via Hateri","Kudal St Depot","Rangana Tulsuli",HATERI,MO,6452,"Vinanti Stop",19.1,,,"कुडाळ आगार",रांगणातुळसुली,25.1,12:30,13:20,,,,,
10982,"Kudal To Rangana Tulsuli Via Hateri","Kudal St Depot","Rangana Tulsuli",HATERI,MO,6214,Hateri,20,,,"कुडाळ आगार",रांगणातुळसुली,25.1,12:30,13:20,,,,,
10982,"Kudal To Rangana Tulsuli Via Hateri","Kudal St Depot","Rangana Tulsuli",HATERI,MO,6394,"Rangana Tulsuli Fata",21.6,,,"कुडाळ आगार",रांगणातुळसुली,25.1,12:30,13:20,,,,,
10982,"Kudal To Rangana Tulsuli Via Hateri","Kudal St Depot","Rangana Tulsuli",HATERI,MO,6168,Dewoolwadi,22.1,,,"कुडाळ आगार",रांगणातुळसुली,25.1,12:30,13:20,,,,,
10982,"Kudal To Rangana Tulsuli Via Hateri","Kudal St Depot","Rangana Tulsuli",HATERI,MO,6389,"Rangana Tulsuli",25.1,,,"कुडाळ आगार",रांगणातुळसुली,25.1,12:30,13:20,,,,,
19934,"Niwati Bandar To Kudal  Via Post Office","Niwati Bandar","Kudal St Depot","POST OFFICE",MO,9741,"Niwati Bandar",,,,निवती,कुडाळ,24,15:30,16:20,,,,,
19934,"Niwati Bandar To Kudal  Via Post Office","Niwati Bandar","Kudal St Depot","POST OFFICE",MO,9777,Sati,3.2,,,निवती,कुडाळ,24,15:30,16:20,,,,,
19934,"Niwati Bandar To Kudal  Via Post Office","Niwati Bandar","Kudal St Depot","POST OFFICE",MO,9761,"Post Office",4.4,,,निवती,कुडाळ,24,15:30,16:20,,,,,
19934,"Niwati Bandar To Kudal  Via Post Office","Niwati Bandar","Kudal St Depot","POST OFFICE",MO,9717,"Mhapan Datta Mandir",5,,,निवती,कुडाळ,24,15:30,16:20,,,,,
19934,"Niwati Bandar To Kudal  Via Post Office","Niwati Bandar","Kudal St Depot","POST OFFICE",MO,9720,"Mhapan Sateri Mandir",5.9,,,निवती,कुडाळ,24,15:30,16:20,,,,,
19934,"Niwati Bandar To Kudal  Via Post Office","Niwati Bandar","Kudal St Depot","POST OFFICE",MO,9714,Mhapan,7,,,निवती,कुडाळ,24,15:30,16:20,,,,,
19934,"Niwati Bandar To Kudal  Via Post Office","Niwati Bandar","Kudal St Depot","POST OFFICE",MO,6384,"Pat Titha",8.1,,,निवती,कुडाळ,24,15:30,16:20,,,,,
19934,"Niwati Bandar To Kudal  Via Post Office","Niwati Bandar","Kudal St Depot","POST OFFICE",MO,6377,"Pendurkar Dukan",9.9,,,निवती,कुडाळ,24,15:30,16:20,,,,,
19934,"Niwati Bandar To Kudal  Via Post Office","Niwati Bandar","Kudal St Depot","POST OFFICE",MO,6094,"Andurle Khind",11.1,,,निवती,कुडाळ,24,15:30,16:20,,,,,
19934,"Niwati Bandar To Kudal  Via Post Office","Niwati Bandar","Kudal St Depot","POST OFFICE",MO,6215,Humarmala,11.8,,,निवती,कुडाळ,24,15:30,16:20,,,,,
19934,"Niwati Bandar To Kudal  Via Post Office","Niwati Bandar","Kudal St Depot","POST OFFICE",MO,6305,"Madyachiwadi Phanas",14.4,,,निवती,कुडाळ,24,15:30,16:20,,,,,
19934,"Niwati Bandar To Kudal  Via Post Office","Niwati Bandar","Kudal St Depot","POST OFFICE",MO,6298,Madyachiwadi,15.8,,,निवती,कुडाळ,24,15:30,16:20,,,,,
19934,"Niwati Bandar To Kudal  Via Post Office","Niwati Bandar","Kudal St Depot","POST OFFICE",MO,6251,"Karmal Galu",17.9,,,निवती,कुडाळ,24,15:30,16:20,,,,,
19934,"Niwati Bandar To Kudal  Via Post Office","Niwati Bandar","Kudal St Depot","POST OFFICE",MO,6376,"Pinguli Titha",21.2,,,निवती,कुडाळ,24,15:30,16:20,,,,,
19934,"Niwati Bandar To Kudal  Via Post Office","Niwati Bandar","Kudal St Depot","POST OFFICE",MO,6237,"Kudal St Depot",24,,,निवती,कुडाळ,24,15:30,16:20,,,,,
75182,"Kudal To Mhapan Vittal Mandir Via Pinguli Titha","Kudal St Depot","Mhapan Vittal Mandir","PINGULI TITHA",MO,6237,"Kudal St Depot",,,,कुडाळ,म्हापण,19.5,07:30,08:05,sc,SUN,,,
75182,"Kudal To Mhapan Vittal Mandir Via Pinguli Titha","Kudal St Depot","Mhapan Vittal Mandir","PINGULI TITHA",MO,6376,"Pinguli Titha",2.8,,,कुडाळ,म्हापण,19.5,07:30,08:05,sc,SUN,,,
75182,"Kudal To Mhapan Vittal Mandir Via Pinguli Titha","Kudal St Depot","Mhapan Vittal Mandir","PINGULI TITHA",MO,6251,"Karmal Galu",6.1,,,कुडाळ,म्हापण,19.5,07:30,08:05,sc,SUN,,,
75182,"Kudal To Mhapan Vittal Mandir Via Pinguli Titha","Kudal St Depot","Mhapan Vittal Mandir","PINGULI TITHA",MO,6298,Madyachiwadi,8.2,,,कुडाळ,म्हापण,19.5,07:30,08:05,sc,SUN,,,
75182,"Kudal To Mhapan Vittal Mandir Via Pinguli Titha","Kudal St Depot","Mhapan Vittal Mandir","PINGULI TITHA",MO,6305,"Madyachiwadi Phanas",9.6,,,कुडाळ,म्हापण,19.5,07:30,08:05,sc,SUN,,,
75182,"Kudal To Mhapan Vittal Mandir Via Pinguli Titha","Kudal St Depot","Mhapan Vittal Mandir","PINGULI TITHA",MO,6215,Humarmala,12.2,,,कुडाळ,म्हापण,19.5,07:30,08:05,sc,SUN,,,
75182,"Kudal To Mhapan Vittal Mandir Via Pinguli Titha","Kudal St Depot","Mhapan Vittal Mandir","PINGULI TITHA",MO,6094,"Andurle Khind",12.9,,,कुडाळ,म्हापण,19.5,07:30,08:05,sc,SUN,,,
75182,"Kudal To Mhapan Vittal Mandir Via Pinguli Titha","Kudal St Depot","Mhapan Vittal Mandir","PINGULI TITHA",MO,6377,"Pendurkar Dukan",14.8,,,कुडाळ,म्हापण,19.5,07:30,08:05,sc,SUN,,,
75182,"Kudal To Mhapan Vittal Mandir Via Pinguli Titha","Kudal St Depot","Mhapan Vittal Mandir","PINGULI TITHA",MO,6384,"Pat Titha",16.1,,,कुडाळ,म्हापण,19.5,07:30,08:05,sc,SUN,,,
75182,"Kudal To Mhapan Vittal Mandir Via Pinguli Titha","Kudal St Depot","Mhapan Vittal Mandir","PINGULI TITHA",MO,9714,Mhapan,17.6,,,कुडाळ,म्हापण,19.5,07:30,08:05,sc,SUN,,,
75182,"Kudal To Mhapan Vittal Mandir Via Pinguli Titha","Kudal St Depot","Mhapan Vittal Mandir","PINGULI TITHA",MO,9720,"Mhapan Sateri Mandir",18.3,,,कुडाळ,म्हापण,19.5,07:30,08:05,sc,SUN,,,
75182,"Kudal To Mhapan Vittal Mandir Via Pinguli Titha","Kudal St Depot","Mhapan Vittal Mandir","PINGULI TITHA",MO,9721,"Mhapan Vittal Mandir",19.5,,,कुडाळ,म्हापण,19.5,07:30,08:05,sc,SUN,,,
107839,"Bav To Kudal St Depot",Bav,"Kudal St Depot",,MO,6125,Bav,,,,बाव,"कुडाळ आगार",7.9,12:00,12:20,,,"विश्रांती 14.15-16.45",,
107839,"Bav To Kudal St Depot",Bav,"Kudal St Depot",,MO,6118,Bambuli,4.4,,,बाव,"कुडाळ आगार",7.9,12:00,12:20,,,"विश्रांती 14.15-16.45",,
107839,"Bav To Kudal St Depot",Bav,"Kudal St Depot",,MO,6237,"Kudal St Depot",6.4,,,बाव,"कुडाळ आगार",7.9,12:00,12:20,,,"विश्रांती 14.15-16.45",,
107839,"Bav To Kudal St Depot",Bav,"Kudal St Depot",,MO,6240,"Kudal St Depot",7.9,,,बाव,"कुडाळ आगार",7.9,12:00,12:20,,,"विश्रांती 14.15-16.45",,
