"Route No","Route Name","From Stop Name","Till Stop Name","Via Stop Name","Route Type","Bstop ID","Bstop Name","DIST KM","IN ACTIVE","DTL IN ACTIVE",Source_Marathi,Destination_Marathi,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Remark,School_Trip
10661,"Banda To Fukeri",Banda,Fukeri,,MO,8486,Banda,,,,बांदा,फुकेरी,22.8,10:35,11:35,SC-TPL,DAILY,शालेय,शालेय,SCHOOL
10661,"Banda To Fukeri",Banda,Fukeri,,MO,8619,Panval,2.4,,,बांदा,फुकेरी,22.8,10:35,11:35,SC-TPL,DAILY,शालेय,शालेय,SCHOOL
10661,"Banda To Fukeri",Banda,Fukeri,,MO,8503,Degve,4,,,बांदा,फुकेरी,22.8,10:35,11:35,SC-TPL,DAILY,शालेय,शालेय,SCHOOL
10661,"Banda To Fukeri",Banda,Fukeri,,MO,8502,"Degve High School",4.9,,,बांदा,फुकेरी,22.8,10:35,11:35,SC-TPL,DAILY,शालेय,शालेय,SCHOOL
10661,"Banda To Fukeri",Banda,Fukeri,,MO,8558,"Kumbral Fata",6.5,,,बांदा,फुकेरी,22.8,10:35,11:35,SC-TPL,DAILY,शालेय,शालेय,SCHOOL
10661,"Banda To Fukeri",Banda,Fukeri,,MO,8620,"Padave Mazgaon",8.6,,,बांदा,फुकेरी,22.8,10:35,11:35,SC-TPL,DAILY,शालेय,शालेय,SCHOOL
10661,"Banda To Fukeri",Banda,Fukeri,,MO,8565,"Margaon Bagwadi",9.1,,,बांदा,फुकेरी,22.8,10:35,11:35,SC-TPL,DAILY,शालेय,शालेय,SCHOOL
10661,"Banda To Fukeri",Banda,Fukeri,,MO,2353,"Talkat Nursary",11.4,,,बांदा,फुकेरी,22.8,10:35,11:35,SC-TPL,DAILY,शालेय,शालेय,SCHOOL
10661,"Banda To Fukeri",Banda,Fukeri,,MO,2352,"Talkat Soci",13.7,,,बांदा,फुकेरी,22.8,10:35,11:35,SC-TPL,DAILY,शालेय,शालेय,SCHOOL
10661,"Banda To Fukeri",Banda,Fukeri,,MO,2358,"Zolambe Tulpulewadi",14.3,,,बांदा,फुकेरी,22.8,10:35,11:35,SC-TPL,DAILY,शालेय,शालेय,SCHOOL
10661,"Banda To Fukeri",Banda,Fukeri,,MO,2357,Zolambe,15.8,,,बांदा,फुकेरी,22.8,10:35,11:35,SC-TPL,DAILY,शालेय,शालेय,SCHOOL
10661,"Banda To Fukeri",Banda,Fukeri,,MO,2356,"Zolambe Fukeri Titha",18,,,बांदा,फुकेरी,22.8,10:35,11:35,SC-TPL,DAILY,शालेय,शालेय,SCHOOL
10661,"Banda To Fukeri",Banda,Fukeri,,MO,2362,"Kolte House",20.7,,,बांदा,फुकेरी,22.8,10:35,11:35,SC-TPL,DAILY,शालेय,शालेय,SCHOOL
10661,"Banda To Fukeri",Banda,Fukeri,,MO,8519,Fukeri,22.8,,,बांदा,फुकेरी,22.8,10:35,11:35,SC-TPL,DAILY,शालेय,शालेय,SCHOOL
11281,"Vengurle To Kelus Mobarwadi",Vengurle,"Kelus Mobarwadi",,MO,9824,Vengurle,,,,वेंगुर्ला,"केळूस मोबार",19.3,08:20,09:00,,,,,
11281,"Vengurle To Kelus Mobarwadi",Vengurle,"Kelus Mobarwadi",,MO,9696,Lokhandewadi,2.8,,,वेंगुर्ला,"केळूस मोबार",19.3,08:20,09:00,,,,,
11281,"Vengurle To Kelus Mobarwadi",Vengurle,"Kelus Mobarwadi",,MO,9625,"Dabholi Matha",5.8,,,वेंगुर्ला,"केळूस मोबार",19.3,08:20,09:00,,,,,
11281,"Vengurle To Kelus Mobarwadi",Vengurle,"Kelus Mobarwadi",,MO,9677,"Khanoli Ganapati Mandir",8.8,,,वेंगुर्ला,"केळूस मोबार",19.3,08:20,09:00,,,,,
11281,"Vengurle To Kelus Mobarwadi",Vengurle,"Kelus Mobarwadi",,MO,9605,"Awere Bridge",11.9,,,वेंगुर्ला,"केळूस मोबार",19.3,08:20,09:00,,,,,
11281,"Vengurle To Kelus Mobarwadi",Vengurle,"Kelus Mobarwadi",,MO,9608,"Bagalachi Rai Chidanand Math",14.9,,,वेंगुर्ला,"केळूस मोबार",19.3,08:20,09:00,,,,,
11281,"Vengurle To Kelus Mobarwadi",Vengurle,"Kelus Mobarwadi",,MO,9662,"Kalvi Titha",15.4,,,वेंगुर्ला,"केळूस मोबार",19.3,08:20,09:00,,,,,
