"Route No","Route Name","From Stop Name","Till Stop Name","Via Stop Name","Route Type","Bstop ID","Bstop Name","DIST KM","IN ACTIVE","DTL IN ACTIVE",Source_Marathi,Destination_Marathi,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Remark,School_Trip
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,1685,Devgad,,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,1759,Jamsande,2.5,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,2014,"Tarwadi Pimple Par",5.7,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,2062,"Wada Tar",6.2,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,2027,"Veerwadi Fata",7,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,1972,Sadewadi,8.3,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,1725,"Ganesh Mandir",8.9,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,1625,"Ambedkar Chouck",10.5,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,2044,"Wada Laibrary",11.4,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,1773,Kodamba,13.2,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,1922,"Padel Canteen",14.5,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,2012,"Tanwade Wadi",15.3,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,1927,"Padel Gpo",16.2,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,1853,Malgave,17,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,2016,"Tirlot Parwadi",18.9,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,2021,"Tirlot Ganpati Mandir",19.6,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,2055,"Wahal Wadi",20,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,1608,Amberi,21.4,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,1804,Kerpoi,22.3,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,1643,Baulwadi,23.4,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,1988,"Soundale Par",25.1,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,2011,Tamhamkawadi,26.2,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,2051,"Waghotan Bandar",27.9,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,2054,"Waghotan Tita",28.8,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,1974,"Sade Waghotan",30,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,2054,"Waghotan Tita",31.5,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,1886,"Muttat Tita",32.4,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,1890,Mutat,33.6,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,1878,"Mutat Gpo",35.3,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,1649,Boudhawadi,36,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,1963,Ranewadi,37.2,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,2061,Wariqwadi,38.3,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,1933,"Palekarwadi School",39.5,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10744,"Devgad To Palekarwadi",Devgad,Palekarwadi,,MO,1917,Palekarwadi,48.8,,,देवगड,पाळेकरवाडी,48.8,07:15,09:15,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,1685,Devgad,,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,1759,Jamsande,2.5,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,1826,"Kawalewadi Titha",4.8,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,2014,"Tarwadi Pimple Par",5.7,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,2062,"Wada Tar",6.2,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,2027,"Veerwadi Fata",7,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,1972,Sadewadi,8.4,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,1725,"Ganesh Mandir",8.9,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,1625,"Ambedkar Chouck",10.6,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,2044,"Wada Laibrary",11.4,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,2038,"Vishnu Mandir",11.9,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,1773,Kodamba,13.2,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,1922,"Padel Canteen",14.5,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,1955,"Pural Tita",16.3,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,1753,Hurshi,17.6,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,1964,"Rede Bandh",18.6,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,1761,"Khan Dukan",19,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,1732,"Girye Ganesh Mandir",19.7,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,1646,Bandewadi,19.9,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,1809,"Kotharwadi Fata",21.1,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,1731,"Girye Canteen",21.5,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,1718,Giryetar,22.1,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,1769,Kata,24.2,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,1714,"Ghariwadi Rameshwar Fata",26,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
10781,"Devgad To Vijaydurg Via Bandewadi",Devgad,Vijaydurg,BANDEWADI,MO,2029,Vijaydurg,28.6,,,देवगड,विजयदुर्ग,28.6,13:30,14:40,,,,,
11343,"Kankavli To Tarla",Kankavli,Tarla,,MO,2786,Kankavli,,,,कणकवली,तरळा,21.5,19:15,19:45,SCH,,,,SCHOOL
11343,"Kankavli To Tarla",Kankavli,Tarla,,MO,2768,"Janavali Gavthanwadi",3.3,,,कणकवली,तरळा,21.5,19:15,19:45,SCH,,,,SCHOOL
11343,"Kankavli To Tarla",Kankavli,Tarla,,MO,2756,"Humrat Titha",7.6,,,कणकवली,तरळा,21.5,19:15,19:45,SCH,,,,SCHOOL
11343,"Kankavli To Tarla",Kankavli,Tarla,,MO,2655,Belane,9.8,,,कणकवली,तरळा,21.5,19:15,19:45,SCH,,,,SCHOOL
11343,"Kankavli To Tarla",Kankavli,Tarla,,MO,2870,"Nandgaon Datta Mandir",12.2,,,कणकवली,तरळा,21.5,19:15,19:45,SCH,,,,SCHOOL
11343,"Kankavli To Tarla",Kankavli,Tarla,,MO,2871,"Nandgaon Fata",14.4,,,कणकवली,तरळा,21.5,19:15,19:45,SCH,,,,SCHOOL
11343,"Kankavli To Tarla",Kankavli,Tarla,,MO,2872,"Nandgaon Nursary",15.7,,,कणकवली,तरळा,21.5,19:15,19:45,SCH,,,,SCHOOL
11343,"Kankavli To Tarla",Kankavli,Tarla,,MO,2673,"Bramhan Wadi",19.5,,,कणकवली,तरळा,21.5,19:15,19:45,SCH,,,,SCHOOL
11343,"Kankavli To Tarla",Kankavli,Tarla,,MO,2982,Tarla,22.5,,,कणकवली,तरळा,21.5,19:15,19:45,SCH,,,,SCHOOL
47346,"Kharepatan To Kankavli",Kharepatan,Kankavli,,MO,2812,Kharepatan,,,,खारेपाटण,कणकवली,37.5,09:45,10:55,SCH,,,,SCHOOL
47346,"Kharepatan To Kankavli",Kharepatan,Kankavli,,MO,2863,Nadgive,4.3,,,खारेपाटण,कणकवली,37.5,09:45,10:55,SCH,,,,SCHOOL
47346,"Kharepatan To Kankavli",Kharepatan,Kankavli,,MO,3010,Wargaon,7.2,,,खारेपाटण,कणकवली,37.5,09:45,10:55,SCH,,,,SCHOOL
47346,"Kharepatan To Kankavli",Kharepatan,Kankavli,,MO,2941,Saliste,16.4,,,खारेपाटण,कणकवली,37.5,09:45,10:55,SCH,,,,SCHOOL
47346,"Kharepatan To Kankavli",Kharepatan,Kankavli,,MO,2982,Tarla,19.4,,,खारेपाटण,कणकवली,37.5,09:45,10:55,SCH,,,,SCHOOL
47346,"Kharepatan To Kankavli",Kharepatan,Kankavli,,MO,2673,"Bramhan Wadi",26.5,,,खारेपाटण,कणकवली,37.5,09:45,10:55,SCH,,,,SCHOOL
47346,"Kharepatan To Kankavli",Kharepatan,Kankavli,,MO,2872,"Nandgaon Nursary",26.7,,,खारेपाटण,कणकवली,37.5,09:45,10:55,SCH,,,,SCHOOL
47346,"Kharepatan To Kankavli",Kharepatan,Kankavli,,MO,2871,"Nandgaon Fata",27.5,,,खारेपाटण,कणकवली,37.5,09:45,10:55,SCH,,,,SCHOOL
47346,"Kharepatan To Kankavli",Kharepatan,Kankavli,,MO,2697,"Datta Mandir",29.7,,,खारेपाटण,कणकवली,37.5,09:45,10:55,SCH,,,,SCHOOL
47346,"Kharepatan To Kankavli",Kharepatan,Kankavli,,MO,2655,Belane,33.5,,,खारेपाटण,कणकवली,37.5,09:45,10:55,SCH,,,,SCHOOL
47346,"Kharepatan To Kankavli",Kharepatan,Kankavli,,MO,2756,"Humrat Titha",34.6,,,खारेपाटण,कणकवली,37.5,09:45,10:55,SCH,,,,SCHOOL
47346,"Kharepatan To Kankavli",Kharepatan,Kankavli,,MO,2768,"Janavali Gavthanwadi",40,,,खारेपाटण,कणकवली,37.5,09:45,10:55,SCH,,,,SCHOOL
47346,"Kharepatan To Kankavli",Kharepatan,Kankavli,,MO,2786,Kankavli,42.5,,,खारेपाटण,कणकवली,37.5,09:45,10:55,SCH,,,,SCHOOL
52539,"Tarla To Manche",Tarla,Manche,,MO,2982,Tarla,,,,तरळा,मनचे,25.5,06:50,07:30,,,,,
52539,"Tarla To Manche",Tarla,Manche,,MO,2997,"Vijaydurg Fata",1,,,तरळा,मनचे,25.5,06:50,07:30,,,,,
52539,"Tarla To Manche",Tarla,Manche,,MO,1702,"Darum Fata",4.4,,,तरळा,मनचे,25.5,06:50,07:30,,,,,
52539,"Tarla To Manche",Tarla,Manche,,MO,1659,"Burambawade Fata",7.3,,,तरळा,मनचे,25.5,06:50,07:30,,,,,
52539,"Tarla To Manche",Tarla,Manche,,MO,1752,Hasnadi,9,,,तरळा,मनचे,25.5,06:50,07:30,,,,,
52539,"Tarla To Manche",Tarla,Manche,,MO,2024,"Undil Titha",10.2,,,तरळा,मनचे,25.5,06:50,07:30,,,,,
52539,"Tarla To Manche",Tarla,Manche,,MO,1706,Fanasgaon,12.4,,,तरळा,मनचे,25.5,06:50,07:30,,,,,
52539,"Tarla To Manche",Tarla,Manche,,MO,1738,"Gowal Fata",13.2,,,तरळा,मनचे,25.5,06:50,07:30,,,,,
52539,"Tarla To Manche",Tarla,Manche,,MO,1950,"Patgaon Datta Mandir",16.2,,,तरळा,मनचे,25.5,06:50,07:30,,,,,
52539,"Tarla To Manche",Tarla,Manche,,MO,1947,"Patgaon Canteen",17.3,,,तरळा,मनचे,25.5,06:50,07:30,,,,,
52539,"Tarla To Manche",Tarla,Manche,,MO,1857,"Malpe Fata",18.5,,,तरळा,मनचे,25.5,06:50,07:30,,,,,
52539,"Tarla To Manche",Tarla,Manche,,MO,1859,"Manche Tita",19.5,,,तरळा,मनचे,25.5,06:50,07:30,,,,,
52539,"Tarla To Manche",Tarla,Manche,,MO,1724,"Gangochi Rai",22.5,,,तरळा,मनचे,25.5,06:50,07:30,,,,,
52539,"Tarla To Manche",Tarla,Manche,,MO,1835,Manche,25.5,,,तरळा,मनचे,25.5,06:50,07:30,,,,,
59824,"Manche To Tarla",Manche,Tarla,,MO,1835,Manche,,,,मनचे,तरळा,25.5,07:35,08:20,,,,,
59824,"Manche To Tarla",Manche,Tarla,,MO,1724,"Gangochi Rai",3,,,मनचे,तरळा,25.5,07:35,08:20,,,,,
59824,"Manche To Tarla",Manche,Tarla,,MO,1859,"Manche Tita",6,,,मनचे,तरळा,25.5,07:35,08:20,,,,,
59824,"Manche To Tarla",Manche,Tarla,,MO,1857,"Malpe Fata",7,,,मनचे,तरळा,25.5,07:35,08:20,,,,,
59824,"Manche To Tarla",Manche,Tarla,,MO,1947,"Patgaon Canteen",8.2,,,मनचे,तरळा,25.5,07:35,08:20,,,,,
59824,"Manche To Tarla",Manche,Tarla,,MO,1950,"Patgaon Datta Mandir",9.3,,,मनचे,तरळा,25.5,07:35,08:20,,,,,
59824,"Manche To Tarla",Manche,Tarla,,MO,1738,"Gowal Fata",12.3,,,मनचे,तरळा,25.5,07:35,08:20,,,,,
59824,"Manche To Tarla",Manche,Tarla,,MO,1706,Fanasgaon,13.1,,,मनचे,तरळा,25.5,07:35,08:20,,,,,
59824,"Manche To Tarla",Manche,Tarla,,MO,2024,"Undil Titha",15.3,,,मनचे,तरळा,25.5,07:35,08:20,,,,,
59824,"Manche To Tarla",Manche,Tarla,,MO,1752,Hasnadi,16.5,,,मनचे,तरळा,25.5,07:35,08:20,,,,,
59824,"Manche To Tarla",Manche,Tarla,,MO,1659,"Burambawade Fata",18.2,,,मनचे,तरळा,25.5,07:35,08:20,,,,,
59824,"Manche To Tarla",Manche,Tarla,,MO,2050,Waghachiwadi,21.1,,,मनचे,तरळा,25.5,07:35,08:20,,,,,
59824,"Manche To Tarla",Manche,Tarla,,MO,2997,"Vijaydurg Fata",24.5,,,मनचे,तरळा,25.5,07:35,08:20,,,,,
59824,"Manche To Tarla",Manche,Tarla,,MO,2982,Tarla,25.5,,,मनचे,तरळा,25.5,07:35,08:20,,,,,
63769,"Pachal To Kankavli Via Phonda",Pachal,Kankavli,PHONDA,MO,14893,Pachal,,,,पाचल,कणकवली,87,08:00,10:45,,,,,
63769,"Pachal To Kankavli Via Phonda",Pachal,Kankavli,PHONDA,MO,14274,"Bhatwade Fata",3,,,पाचल,कणकवली,87,08:00,10:45,,,,,
63769,"Pachal To Kankavli Via Phonda",Pachal,Kankavli,PHONDA,MO,14543,"Jangam Vadi",4.1,,,पाचल,कणकवली,87,08:00,10:45,,,,,
63769,"Pachal To Kankavli Via Phonda",Pachal,Kankavli,PHONDA,MO,14217,Ambewadi,5.2,,,पाचल,कणकवली,87,08:00,10:45,,,,,
63769,"Pachal To Kankavli Via Phonda",Pachal,Kankavli,PHONDA,MO,14792,Muramba,7.3,,,पाचल,कणकवली,87,08:00,10:45,,,,,
63769,"Pachal To Kankavli Via Phonda",Pachal,Kankavli,PHONDA,MO,14795,"Moor Sutarvadi",9.1,,,पाचल,कणकवली,87,08:00,10:45,,,,,
63769,"Pachal To Kankavli Via Phonda",Pachal,Kankavli,PHONDA,MO,14545,"Jambhavali Fata",9.9,,,पाचल,कणकवली,87,08:00,10:45,,,,,
63769,"Pachal To Kankavli Via Phonda",Pachal,Kankavli,PHONDA,MO,15223,Tirawade,11.1,,,पाचल,कणकवली,87,08:00,10:45,,,,,
63769,"Pachal To Kankavli Via Phonda",Pachal,Kankavli,PHONDA,MO,9251,"Nerle High School",12.2,,,पाचल,कणकवली,87,08:00,10:45,,,,,
