Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Mail_Flag,Excel_Row_Ref
1,1,45353,66751,कुडाळ आगार,Kudal St Depot,पणजी,Panjim,पत्रादेवी,83.6,12:00,14:40,Non Obl,Daily,,,,,,,,4
1,2,141701,L3431,पणजी,Panjim,कुडाळ (अक्कलकोट),Akkalkot,पत्रादेवी,82.1,16:00,18:00,Non Obl,Daily,,,,,,,,5
1,3,107825,66753,कुडाळ,Kudal St Depot,सोनवडेपार,,,11.1,18:30,19:00,SC,Daily,,,,,,,,6
1,4,19945,66754,सोनवडेपार,,कुडाळ आगार,Kudal St Depot,,12.6,19:10,19:40,OBL,Daily,विश्रांती 18.00-18.30,189.4,08:25,06:50,,,,7
2,1,141700,L3432,कुडाळ (अक्कलकोट),Akkalkot,पणजी,Panjim,लोकल,82.1,04:15,06:15,Non Obl,Daily,विश्रांती 6.15-6.45,198.9,07:00,06:30,,,,9
2,2,107818,66752\1,पणजी,Panjim,कुडाळ,Kudal St Depot,लोकल,82.1,06:45,08:45,Non Obl,Daily,,,,,,,,10
2,3,107856,66755,कुडाळ,Kudal St Depot,कवठी,Kawathi Ghodakewadi,,16.6,09:00,09:40,Non Obl,Daily,,,,,,,,11
2,4,19908,66756\1,कवठी,Kawathi Ghodakewadi,कुडाळ आगार,Kudal St Depot,,18.1,09:50,10:30,Non Obl,,,,,,,,,12
3,1,10676,66757\1,कुडाळ आगार,Kudal St Depot,बेळगाव,Belgaum,,125,07:30,11:20,Non Obl,Daily,विश्रांती 15.50-17.00,286.2,11:45,09:55,,,,14
3,2,107822,66758,बेळगाव,Belgaum,कुडाळ आगार,Kudal St Depot,,125,12:00,15:50,Non Obl,Daily,,,,,,,,15
3,3,10960,66759,कुडाळ आगार,Kudal St Depot,कवठी,Kawathi Ghodakewadi,,18.1,17:00,17:40,OBL,Daily,,,,,,,,16
3,4,19908,66760,कवठी,Kawathi Ghodakewadi,कुडाळ आगार,Kudal St Depot,,18.1,17:50,18:30,SC,Daily,,,,,,,,17
