Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Mail_Flag,Excel_Row_Ref
1,1,120525,L3433,मालवण,Malvan,कोल्हापुर,Kolhapur,फोंडा(शिवशाही),161.3,16:45,20:45,,,6 तासांत डयुटी संपते,161.3,04:45,04:45,,,,6
,,120525,L3433,कोल्हापुर,Kolhapur,निगडी,Nigadi,कराड 6 KM सातारा 3.7 km Add(शिवशाही),271.1,21:00,03:05,,,,267.4,06:35,06:35,,,,8
2,1,127003,L3434,निगडी,Nigadi,कोल्हापुर,Kolhapur,"सातारा ,कराड (शिवशाही)",261.4,18:45,01:05,,,,267.4,06:50,06:50,,,,10
,,127003,L3434,कोल्हापुर,Kolhapur,मालवण,Malvan,फोंडा(शिवशाही),161.3,01:20,05:15,,,6 तासांत डयुटी संपते,161.3,04:25,04:25,,,,12
3,1,61461,L3435,मालवण,Malvan,कोल्हापुर,Kolhapur,तरळा (शिवशाही),156.7,05:30,09:45,,,6 तासांत डयुटी संपते,156.7,05:00,05:00,,,,14
,,61461,L3435,कोल्हापुर,Kolhapur,निगडी,Nigadi,कराड 6 KM सातारा 3.7 km Add,271.1,10:00,15:55,,,6 तासांत डयुटी संपते,271.1,06:25,06:25,,,,16
4,1,127003,L3436,निगडी,Nigadi,कोल्हापुर,Kolhapur,,261.4,06:30,12:35,,,6 तासांत डयुटी संपते,261.4,06:40,06:40,,,,18
,,127003,L3436,कोल्हापुर,Kolhapur,मालवण,Malvan,,161.3,12:55,17:05,,,6 तासांत डयुटी संपते,161.3,04:40,04:40,,,,20
5,1,120525,L3407,मालवण,Malvan,कोल्हापुर,Kolhapur,फोंडा,161.3,07:00,11:25,,,6 तासांत डयुटी संपते,161.3,05:10,05:10,,,,22
,,120525,L3407,कोल्हापुर,Kolhapur,निगडी,Nigadi,कराड 6 KM सातारा 3.7 km Add,271.1,11:40,18:10,,,,271.1,07:05,06:35,,,,24
6,1,127003,L3408,निगडी,Nigadi,कोल्हापुर,Kolhapur,"सातारा ,कराड",261.4,05:15,11:30,,,,261.4,06:45,06:45,,,,26
,,127003,L3408,कोल्हापुर,Kolhapur,मालवण,Malvan,फोंडा,161.3,11:45,16:10,,,6 तासांत डयुटी संपते,161.3,04:55,04:55,,,,28
7,1,75682,L3475,मालवण,Malvan,कोल्हापुर,Kolhapur,"फोंडा ,कोल्हापुर",161.3,06:30,11:05,,,6 तासांत डयुटी संपते,161.3,05:20,05:20,,,,30
,,75682,L3475,कोल्हापुर,Kolhapur,तुळजापुर,Tuljapur,"मिरज,सांगोला,पंभ्रपुर,सोलापुर",304.5,11:20,18:55,,,,304.5,08:10,08:00,,,,32
8,1,85543,L3476,तुळजापुर,Tuljapur,कोल्हापुर,Kolhapur,"सोलापुर ,पंभ्रपुर,सांगोला,मिरज",304.5,09:30,17:10,,,,304.5,08:10,08:00,,,,34
