Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Bus_Class,Excel_Row_Ref
1,1,16566,3464,निगडी,Nigadi,कोल्हापुर,Kolhapur,CHINCHWAD PUNE STN SATARA KARAD,257,20:30,02:45,NOBL,,,,,,,,LD,4
1,1,,3464,कोल्हापुर,Kolhapur,सावंतवाडी,Sawantwadi,Amboli NIPANI GADHINGLAZ AJARA AMBOLI,149.6,03:00,07:15,NOBL,,,,,,,,LD,5
2,5,45352,64379,सावंतवाडी,Sawantwadi,पणजी,Panjim,semi BANDA PATRADEVI MHAPSA,61.7,08:45,10:45,NOBL,,,,,,,,SEMI,7
2,6,11082,64380,पणजी,Panjim,सावंतवाडी,Sawantwadi,MHAPSA PATRADEVI BANDA,61.7,11:30,13:30,NOBL,,,,,,,,SEMI,8
,3,40687,3463,सावंतवाडी,Sawantwadi,कोल्हापुर,Kolhapur,Amboli AMBOLI AJRA GADHINGLAZ NIPANI,149.6,18:45,23:20,NOBL,,,,,,,,LD,10
,1,,3463,कोल्हापुर,Kolhapur,निगडी,Nigadi,KARAD  SATARA PUNE STN CINCHWAD,257,23:45,05:30,NOBL,,,,,,,,LD,11
3,1,,4509,सावंतवाडी,Sawantwadi,रत्नागिरी,Ratnagiri,KUDAL KANKAVALI TALERE RAJAPUR LANJA PALI HATKHAMBA,184.8,10:00,15:30,NOBL,,,,,,,,MLD,13
4,1,11100,3418,रत्नागिरी,Ratnagiri,,Sawantwadi,HATKHAMBA PALI LANJA RAJAPUR KANKAVALI KUDAL,184.8,05:30,10:00,NOBL,,,,,,Limited Stops upto Swd,,MLD,15
,1,,3418,,Ratnagiri Sawantwadi,पणजी,Panjim,BANDA PATRADEVI MHAPSA,61.7,10:45,12:45,OPN,,,,,,,,SEMI,17
,2,11082,64755,पणजी,Panjim,सावंतवाडी,Sawantwadi,MHAPSA PATRADEVI BANDA,61.7,15:00,17:00,OPN,,,,,,,,SEMI,18
5,1,45352,64070,सावंतवाडी,Sawantwadi,पणजी,Panjim,semi BANDA PATRADEVI MHAPSA,61.7,06:15,08:15,OPN,,,,,,,,SEMI,20
5,2,11082,64071,पणजी,Panjim,सावंतवाडी,Sawantwadi,,61.7,,10:35,,,,,,,,,SEMI,21
,2,116982,3419,पणजी,Panjim,,Sawantwadi,MHAPSA PATRADEVI BANDA,61.7,08:45,10:30,OPN,,,,,,,,SEMI,23
6,1,45352,64359,सावंतवाडी,Sawantwadi,पणजी,Panjim,semi BANDA PATRADEVI MHAPSA,61.7,10:00,12:00,NOBL,,,,,,,,SEMI,25
6,2,11082,64360,पणजी,Panjim,सावंतवाडी,Sawantwadi,MHAPSA PATRADEVI BANDA,61.7,12:15,14:15,NOBL,,,,,,,,SEMI,26
6,1,45352,64424,सावंतवाडी,Sawantwadi,पणजी,Panjim,semi BANDA PATRADEVI MHAPSA,61.7,14:15,,NOBL,,,,,,,,SEMI,27
6,2,11082,64425,पणजी,Panjim,सावंतवाडी,Sawantwadi,semi MHAPSA PATRADEVI BANDA,61.7,16:45,18:45,NOBL,,,,,,,,SEMI,28
7,1,116986,3420,,Ganpatipule,पणजी,Panjim,BANDA PATRADEVI MHAPSA,61.7,13:15,15:15,OPN,,,,,,,,SEMI,30
7,2,11082,64763,पणजी,Panjim,सावंतवाडी,Sawantwadi,MHAPSA PATRADEVI BANDA,61.7,15:45,17:45,OPN,,,,,,,,SEMI,31
8,1,40686,3479,सावंतवाडी,Sawantwadi,निगडी,Nigadi,Amboli AMBOLI AJARA UTTUR NIPANI KOLHAPUR KARAD SATARA PUNE STN,406.7,07:15,18:00,NOBL,,,,,,,,LD,35
,1,16566,3412,निगडी,Nigadi,कोल्हापुर,Kolhapur,SATARA KARAD,257,19:15,22:50,NOBL,,,,,,,,LD,37
