Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Mail_Flag,Excel_Row_Ref
1,1,2349,L3459,विजयदुर्ग,Vijaydurg,चिपळुण (शिवाजीनगर),Chiplun,"तरळा,खारेपाटण,(जेवण चिपळुण शिवाजीनगर)",231.4,15:00,22:05,,,,231.4,07:15,06:55,,,,4
2,1,2349,L3459,चिपळुण (शिवाजीनगर),Chiplun,मुंबई सेंट्रल,Mumbai Central,"महाड,पनवेल,परळ",266.7,22:20,05:05,,,,266.7,07:10,07:05,,,,6
3,1,430,L3460,मुंबई सेेंट्रल,Mumbai Central,चिपळुण (शिवाजीनगर),Chiplun,"परळ,पनवेल,(जेवण सागर पॉलेस हॉटेल)महाड",266.7,18:00,01:20,,,,266.7,07:50,07:50,,,,8
4,1,430,L3460,चिपळुण (शिवाजीनगर),Chiplun,विजयदुर्ग,Vijaydurg,"चिपळुण,खारेपाटण,तरळा(मुंबइर्-विजयदुर्गची फेरी )",231.4,01:35,08:20,,,,231.4,06:40,06:40,,,,10
5,1,91529,L3561,विजयदुर्ग,Vijaydurg,चिपळुण (शिवाजीनगर),Chiplun,"जौतापुर,नाटे,पावस,रत्नागिरी (जेवण चिपळुण शिवाजीनगर)",210.3,15:45,21:10,,,,210.3,07:20,06:55,,,,12
6,1,,L3561,चिपळुण (शिवाजीनगर),Chiplun,बोरीवली,,"पोलादपुर ,महाड,माणगाव ,पेणरामवाडी पनवेल,कुर्ला",280.9,21:30,04:20,,,,280.9,07:20,07:20,,,,14
7,1,,L3562,बोरीवली,,चिपळुण (शिवाजीनगर),Chiplun,"कुर्ला,पनवेल,महाड",280.9,18:00,01:25,,,,280.9,07:55,07:35,,,,16
8,1,84237,L3562,चिपळुण (शिवाजीनगर),Chiplun,विजयदुर्ग,Vijaydurg,"चिपळुण ,रत्नागिरी ,पावस,नाटे ,जौतापुर",210.3,01:40,07:05,,,,210.3,05:55,05:55,,,,18
9,1,100220,L3457,विजयदुर्ग,Vijaydurg,कोल्हापुर,Kolhapur,"तरळा,ग)बावडा,",148.6,05:00,09:30,,,,148.6,05:15,05:15,,,,20
10,1,100220,L3457,कोल्हापुर,Kolhapur,चिंचवड,Chinchwad,"कराड 6⁇स,सातारा 3.7,स्वारगेट,पुणेस्टे",260.7,09:45,15:55,,,,260.7,06:40,06:40,,,,22
11,1,100221,L3458,चिंचवड,Chinchwad,कोल्हापुर,Kolhapur,"पुणेस्टे,स्वारगेट,सातारा,कराड",254.7,07:15,13:40,,,,254.7,06:55,06:55,,,,24
12,1,100221,L3458,कोल्हापुर,Kolhapur,विजयदुर्ग,Vijaydurg,"ग)बावडा,तरळा ,सरळ",148.6,14:30,19:30,,,,148.6,05:30,05:30,,,,26
13,1,121834,L3499,विजयदुर्ग,Vijaydurg,पं{रपुर,Pandharpur,"पडेल कॉनि्टन ,तरळा ,वौ)वाडी,कोल्हापुर,सांगली ,मिरज",338.9,08:30,17:45,,,,338.9,10:00,09:55,,,,28
14,1,121830,L3500,पं{रपुर,Pandharpur,विजयदुर्ग,Vijaydurg,"सांगोला,मिरज ,कोल्हापुर ,ग)बावडा",338.9,06:15,16:10,,,,338.9,10:25,09:55,,,,30
15,1,150816,L3451,विजयदुर्ग,Vijaydurg,कोल्हापुर,Kolhapur,"पालेकरवाडी,तरळ,गगनबावडा",156.1,06:00,10:55,,,,156.1,05:40,05:40,,,,32
16,1,150816,L3451,कोल्हापुर,Kolhapur,चिंचवड,Chinchwad,"कराड 6⁇स,सातारा 3.7,स्वारगेट ,पुणेस्टेशन",260.7,11:10,17:20,,,,260.7,06:40,06:40,,,,34
17,1,,L3452,चिंचवड,Chinchwad,कोल्हापुर,Kolhapur,"स्वारगेट,सातारा,कराड",254.7,06:00,12:05,,,,254.7,06:35,06:35,,,,36
18,1,121817,L3452,कोल्हापुर,Kolhapur,विजयदुर्ग,Vijaydurg,"गगनबावडा ,वौभववाडी , तरळा,पालेकरवाडी",156.1,12:20,17:20,,,,156.1,05:30,05:30,,,,38
19,1,,,विजयदुर्ग,Vijaydurg,कोल्हापुर,Kolhapur,"पालेकरवाडी,तरळ,गगनबावडा",156.1,17:00,21:55,,,,156.1,05:40,05:40,,,,40
20,1,,,कोल्हापुर,Kolhapur,चिंचवड,Chinchwad,"कराड,सातारा,स्वारगेट ,पुणेस्टेशन",254.7,22:15,04:20,,,,254.7,06:40,06:40,,,,42
21,1,,,चिंचवड,Chinchwad,चिपळुण,,"स्वारगेट,सातारा,कराड",254.7,19:15,01:15,,,,254.7,06:35,06:35,,,,44
22,1,,,चिपळुण,,विजयदुर्ग,Vijaydurg,"गगनबावडा ,वौभववाडी , तरळा,पालेकरवाडी",156.1,01:30,04:20,,,,156.1,05:30,05:30,,,,46
23,1,,,विजयदुर्ग,Vijaydurg,शिवाजीनगर(चिपळुण),,,210.3,06:30,13:30,,,,210.3,07:45,07:35,,,,48
24,1,,,शिवाजीनगर(चिपळुण),,मुंबइर्,,,266.7,13:45,20:45,,,,266.7,07:30,07:20,,,,50
25,1,,,मुंबइर्,,शिवाजीनगर(चिपळुण),,,266.7,07:15,13:55,,,,266.7,07:10,07:00,,,,52
26,1,,,शिवाजीनगर(चिपळुण),,विजयदुर्ग,Vijaydurg,,210.3,14:10,21:00,,,,210.3,07:20,07:10,,,,54
27,1,,,विजयदुर्ग,Vijaydurg,शिवाजीनगर(चिपळुण),,,210.3,10:00,17:30,,,,210.3,08:15,08:00,,,,56
28,1,,,शिवाजीनगर(चिपळुण),,विजयदुर्ग,Vijaydurg,,210.3,10:00,17:30,,,,210.3,08:15,08:00,,,,58
29,1,474,M4563,विजयदुर्ग,Vijaydurg,पणजी,Panjim,"तरळा,नांदगावतिठ,कुडाळ,बांदा ,पत्रादेवी",201.2,06:00,11:55,,,,201.2,06:40,06:35,,,,62
30,1,11084,M4564,पणजी,Panjim,विजयदुर्ग,Vijaydurg,"पत्रादेवी,बांदा ,कुडाळ ,कणकवली,नांदगाव तिठ",201.2,14:15,20:00,,,,201.2,06:15,06:15,,,,64
31,1,112786,M4561,विजयदुर्ग,Vijaydurg,इचलकरंजी,Ichalkaranji,"पडेल कॉनि्टन ,तरळा ,वौभववाडी , कोल्हापुर",180.1,12:30,17:50,,,,,,,,,,66
31,2,59591,S66749,इचलकरंजी,Ichalkaranji,कोल्हापुर,Kolhapur,"हातकणंगले ,",27.4,18:30,19:10,,,,207.5,07:25,06:55,,,,67
32,1,10925,M4562,कोल्हापुर,Kolhapur,विजयदुर्ग,Vijaydurg,"गगनबावडा ,वौभववाडी , तरळा,पालेकरवाडी",152.7,06:00,11:30,,,,152.7,05:35,05:05,,,,69
33,1,30121,S66657,विजयदुर्ग,Vijaydurg,वेंगुर्ले,Vengurle,"तरळा,नांदगावतिठ,कुडाळ,मठ",149,06:15,11:30,,,,149,06:00,06:00,,,,71
34,1,11297,S66658,वेेंगुर्लेे,Vengurle,विजयदुर्ग,Vijaydurg,"मठ ,कुडाळ,नांदगावतिठ ,तरळा",144.4,14:30,19:50,,,,144.4,05:50,05:50,,,,73
35,1,30113,S66659,विजयदुर्ग,Vijaydurg,सावंतवाडी,Sawantwadi,कट्टा,135.3,07:45,12:30,,,,,,,,,,74
35,2,11202,S66660,सावंतवाडी,Sawantwadi,विजयदुर्ग,Vijaydurg,कट्टा,135.3,14:00,18:05,,,,270.6,11:05,09:05,,,,75
36,1,30114,S66630,विजयदुर्ग,Vijaydurg,सावंतवाडी,Sawantwadi,अनपुर फाटा,139.7,06:40,10:55,,,,,,,,,,77
36,2,11138,S66631,सावंतवाडी,Sawantwadi,कणकवली,Kankavli,,56.1,11:15,13:00,,,,,,,,,,78
36,3,10888,S66632,कणकवली,Kankavli,विजयदुर्ग,Vijaydurg,ब्राम्हण वाडी,75,15:15,17:40,,,,270.8,11:45,09:15,,,,79
37,1,30109,S66616,विजयदुर्ग,Vijaydurg,कणकवली,Kankavli,,86,08:20,11:30,,,,,,,,,,81
37,2,10888,S66617,कणकवली,Kankavli,विजयदुर्ग,Vijaydurg,ब्राम्हण वाडी,75,12:45,15:15,,,,161,07:25,06:20,,,,82
38,1,30104,S66610,विजयदुर्ग,Vijaydurg,कणकवली रेल्वे स्टेशन,Kankavli Railway Station,,95.6,05:45,08:45,,,,,,,,,,84
38,2,10888,S66611,कणकवली,Kankavli,विजयदुर्ग,Vijaydurg,ब्राम्हण वाडी,75,09:15,11:45,,,,170.6,06:45,06:05,,,,85
39,1,127534,S66618,विजयदुर्ग,Vijaydurg,कणकवली,Kankavli,गिरये तर,87,06:55,10:15,,,,,,,,,,87
39,2,127554,S66619,कणकवली,Kankavli,विजयदुर्ग,Vijaydurg,अनपुर फाटा,99,11:45,15:05,,,,186,09:50,09:15,,,,88
40,1,121422,S66725,विजयदुर्ग,Vijaydurg,रत्नागिरी,Ratnagiri,का$ाादेवी,116.5,05:45,09:30,,,,,,,,,,90
40,2,121421,S66726,रत्नागिरी,Ratnagiri,विजयदुर्ग,Vijaydurg,का$ाादेवी,116.5,09:45,12:45,,,,233,07:45,07:40,,,,91
41,1,121422,S66743,विजयदुर्ग,Vijaydurg,रत्नागिरी,Ratnagiri,का$ाादेवी,116.5,09:15,12:30,,,,,,,,,,93
41,2,121421,S66744,रत्नागिरी,Ratnagiri,विजयदुर्ग,Vijaydurg,का$ाादेवी,116.5,13:15,15:10,,,,233,06:40,06:05,,,,94
42,1,123473,S66612,विजयदुर्ग,Vijaydurg,मालवण,Malvan,,80,13:30,16:40,,,,,,,,,,96
42,2,11071,S66613,मालवण,Malvan,विजयदुर्ग,Vijaydurg,आचरा,88.8,17:30,21:10,,,,168.8,08:25,07:45,,,,97
43,1,123471,S66614,विजयदुर्ग,Vijaydurg,मालवण,Malvan,कालावल,88.8,06:00,09:45,,,,,,,,,,99
43,2,123474,S66615,मालवण,Malvan,विजयदुर्ग,Vijaydurg,,80,10:15,13:35,,,,168.8,08:20,08:00,,,,100
44,1,30109,S66735,विजयदुर्ग,Vijaydurg,मालवण,Malvan,देवगड,83.1,09:45,12:45,,,,,,,,,,102
44,2,10889,S66736,मालवण,Malvan,विजयदुर्ग,Vijaydurg,देवगड-16.50,83.1,13:15,18:10,,,,166.2,09:10,08:50,,,,103
45,1,112787,S66685,विजयदुर्ग,Vijaydurg,पाचल,Pachal,तरळा,129,12:30,18:40,,,,129,06:50,05:45,,,,105
46,1,63769,S66686,पाचल,Pachal,कणकवली,Kankavli,फोंडा,87,08:00,10:45,,,,,,,,,,107
46,2,125499,S66633,कणकवली,Kankavli,विजयदुर्ग,Vijaydurg,,93,11:15,14:30,,,,180,06:55,06:35,,,,108
47,1,11389,S66661,विजयदुर्ग,Vijaydurg,तरळा,Tarla,,66,12:15,14:15,,,,,,,,,,109
47,2,72502,S66662,तरळा,Tarla,शिरवली,Shirawali,,12,15:30,15:55,,,,,,,,,,110
47,3,75507,S66663,शिरवली,Shirawali,तरळा,Tarla,,20,16:05,16:45,,,,,,,,,,111
47,4,11243,S66664,तरळा,Tarla,बुरमबावडे,Burumbewade,,6,16:55,17:10,,,,,,,,,,112
47,5,30119,S66665,बुरमबावडे,Burumbewade,तरळा,Tarla,,6,17:15,17:30,,,,,,,,,,113
47,6,11235,S66666,तरळा,Tarla,आेजरम महादेवाची वाडी,Ozaram Mahadevachiwadi,,8.5,17:40,18:05,,,,,,,,,,114
47,7,19846,S66667,आेजरम महादेवाची वाडी,Ozaram Mahadevachiwadi,तरळा,Tarla,,8.5,18:10,18:35,,,,,,,,,,115
